# step Etot Epot T p 
5500000 -5268.4761 -7203.19 300.3061 7.4172 
5550000 -5141.8344 -7062.2837 298.0919 -13.6065 
5600000 -5097.2038 -7027.607 299.637 -6.9783 
5650000 -5213.7759 -7108.6382 294.1203 -0.3217 
5700000 -5118.989 -7090.0447 305.9471 -27.521 
5750000 -5226.2366 -7162.5001 300.5466 -10.317 
5800000 -5224.9553 -7145.4196 298.0943 -4.3631 
5850000 -5151.2699 -7094.416 301.6149 10.1173 
5900000 -5155.6117 -7110.7535 303.4769 13.6547 
5950000 -5179.8765 -7107.2322 299.1639 -23.7437 
6000000 -5227.4413 -7114.4252 292.8974 -14.1504 
6050000 -5264.4054 -7170.8981 295.9256 3.0786 
6100000 -5179.3736 -7122.2463 301.5725 3.2877 
6150000 -5210.042 -7147.1758 300.6817 -7.4599 
6200000 -5249.9611 -7150.8772 295.06 -11.7507 
6250000 -5217.9011 -7134.7956 297.5402 19.9319 
6300000 -5052.1313 -7019.0553 305.3057 -7.1285 
6350000 -5204.9357 -7141.8076 300.6411 7.1858 
6400000 -5202.6935 -7070.0804 289.8556 -19.5054 
6450000 -5137.5992 -7113.3124 306.67 -4.1165 
6500000 -5134.1036 -7044.0069 296.455 24.1664 
6550000 -5237.5986 -7137.9575 294.9735 3.4568 
6600000 -5192.7039 -7158.0828 305.0659 -22.8901 
6650000 -5120.2392 -7088.2302 305.4713 -19.184 
6700000 -5144.3805 -7077.7856 300.1029 33.3225 
6750000 -5239.1182 -7185.3567 302.0949 -56.9741 
6800000 -5168.1472 -7092.4233 298.6859 -16.5 
6850000 -5154.0586 -7142.9296 308.7124 -9.5159 
6900000 -5305.3684 -7163.4024 288.4038 -29.6822 
6950000 -5056.8633 -6952.0024 294.1633 51.6406 
7000000 -5206.86 -7092.4825 292.6861 16.7531 
7050000 -5233.4966 -7120.1938 292.8529 2.0782 
7100000 -5119.544 -7071.8909 303.0431 -17.2918 
7150000 -5230.3943 -7164.9741 300.2853 -20.319 
7200000 -5113.6279 -7033.4627 297.9966 6.5324 
7250000 -5190.7586 -7082.6777 293.6635 -15.3019 
7300000 -5177.9846 -7138.9829 304.3859 2.8602 
7350000 -5057.093 -7033.0426 306.7067 -11.319 
7400000 -5157.9493 -7068.8252 296.6059 39.829 
7450000 -5117.2287 -7048.7378 299.8086 24.989 
7500000 -5180.8527 -7119.2756 300.8818 -26.4947 
7550000 -5232.9855 -7104.8623 290.5525 -31.0301 
7600000 -5176.8418 -7161.9143 308.1227 41.4463 
7650000 -5265.8533 -7196.0924 299.6115 -22.6375 
7700000 -5168.4654 -7089.2194 298.1392 -0.6002 
7750000 -5187.6139 -7121.7624 300.2183 -36.297 
7800000 -5103.2775 -7111.3982 311.7003 34.4439 
7850000 -5126.6541 -7105.0098 307.0802 -9.8753 
7900000 -5175.443 -7115.1994 301.0888 -38.1348 
7950000 -5227.6822 -7091.009 289.2254 -27.7375 
8000000 -5299.3029 -7195.7287 294.363 27.9241 
8050000 -5219.487 -7130.9739 296.7008 -15.2733 
8100000 -5144.3594 -7075.6711 299.778 -33.7086 
8150000 -5213.3316 -7112.8119 294.8371 -12.8883 
8200000 -5029.1915 -7024.479 309.7083 40.5782 
8250000 -5194.8771 -7082.7987 293.043 16.5582 
8300000 -5151.0904 -7082.6566 299.8175 39.3693 
8350000 -5166.4598 -7075.5122 296.3229 -29.2289 
8400000 -5195.7241 -7148.7487 303.1483 18.097 
8450000 -5164.9044 -7079.0502 297.1135 -3.2236 
8500000 -5297.8672 -7147.3757 287.0805 26.0355 
8550000 -5180.3019 -7150.3846 305.796 -17.0596 
8600000 -5238.4799 -7174.3858 300.4911 56.5669 
8650000 -5174.8164 -7067.8444 293.8356 -30.3337 
8700000 -5167.8256 -7085.96 297.7326 19.4005 
8750000 -5216.485 -7115.0347 294.6927 13.7871 
8800000 -5201.648 -7114.7388 296.9498 -3.0933 
8850000 -5139.4645 -7063.5549 298.6571 -8.6815 
8900000 -5256.8182 -7146.9895 293.3922 -0.1395 
8950000 -5250.8163 -7176.8703 298.9619 0.1231 
9000000 -5083.3515 -7052.2422 305.611 -34.1151 
9050000 -5166.7574 -7114.9932 302.405 -8.816 
9100000 -5207.2521 -7159.4648 303.0222 -24.1932 
9150000 -5088.635 -7063.1455 306.4833 7.6433 
9200000 -5150.1276 -7105.5262 303.5168 15.542 
9250000 -5119.5924 -7100.0645 307.4087 -35.6259 
9300000 -5142.1773 -7034.8385 293.7787 -29.4844 
9350000 -5167.3142 -7113.9606 302.1582 -8.068 
9400000 -5176.9486 -7085.7983 296.2915 -27.4084 
9450000 -5216.2754 -7147.8524 299.8192 -18.6168 
9500000 -5242.9001 -7175.874 300.036 -23.8606 
9550000 -5303.0246 -7133.1973 284.0792 22.0646 
9600000 -5204.0914 -7111.5296 296.0723 35.3752 
9650000 -5135.242 -7111.4103 306.7406 4.1974 
9700000 -5220.8648 -7122.9535 295.242 3.4217 
9750000 -5111.1094 -6987.9587 291.3243 68.7617 
9800000 -5188.4374 -7114.9025 299.0257 -20.4065 
9850000 -5079.2942 -7039.7479 304.3014 -21.376 
9900000 -5142.3734 -7129.1082 308.3808 -8.9656 
9950000 -5232.372 -7153.9026 298.2598 5.6068 
10000000 -5213.3067 -7125.6594 296.8352 4.5372 
10050000 -5266.7362 -7177.9212 296.6539 -13.5067 
10100000 -5182.6226 -7106.3511 298.6009 -16.0091 
10150000 -5240.139 -7157.7908 297.6577 24.7869 
10200000 -5092.1298 -7088.1739 309.8258 20.9155 
10250000 -5111.8228 -7051.5927 301.0909 -0.0904 
10300000 -5147.8703 -7110.5669 304.6496 -43.9466 
10350000 -5088.4289 -7051.0937 304.6446 10.3517 
10400000 -5128.8257 -7047.4859 297.8142 -13.6988 
10450000 -5245.9415 -7198.2585 303.0384 10.1046 
10500000 -5201.3756 -7127.0024 298.8956 5.7307 
10550000 -5120.9223 -7039.8555 297.8566 2.0998 
10600000 -5096.4252 -7056.1539 304.1889 5.3353 
10650000 -5109.9368 -7038.1412 299.2957 -43.5143 
10700000 -5237.1093 -7156.4821 297.9248 24.4282 
10750000 -5173.2577 -7100.9208 299.2117 19.9374 
10800000 -5209.8147 -7175.4119 305.0998 13.9243 
10850000 -5183.4447 -7094.3643 296.6127 8.3142 
10900000 -5265.9465 -7161.8408 294.2805 18.5166 
10950000 -5195.1087 -7134.8769 301.0906 21.2088 
11000000 -5204.8973 -7098.8823 293.9841 71.455 
11050000 -5136.4461 -7080.1137 301.6959 -10.8538 
11100000 -5162.8704 -7066.0063 295.4045 18.0134 
11150000 -5185.7026 -7169.2899 307.8922 5.6457 
11200000 -5247.4101 -7183.1194 300.4606 24.0209 
11250000 -5199.1767 -7089.7684 293.4574 -18.6206 
11300000 -5138.5547 -7118.435 307.3168 20.2929 
11350000 -5157.088 -7108.4726 302.8937 6.3691 
11400000 -5108.3722 -7060.9816 303.0838 -17.7231 
11450000 -5238.329 -7163.3464 298.801 -26.2023 
11500000 -5296.6762 -7192.0648 294.202 37.0022 
11550000 -5249.892 -7175.2166 298.8487 14.2838 
11600000 -5083.0841 -7021.0296 300.8077 12.7506 
11650000 -5260.0192 -7180.2791 298.0625 -18.4548 
11700000 -5159.6993 -7123.9962 304.898 -45.0568 
11750000 -5129.0349 -7052.9399 298.6283 -20.0267 
11800000 -5230.1284 -7117.9937 293.0343 10.3161 
11850000 -5212.231 -7136.4227 298.6728 -10.563 
11900000 -5339.9962 -7292.95 303.1373 1.341 
11950000 -5088.4339 -7042.7485 303.3485 -6.261 
12000000 -5169.3318 -7123.492 303.3245 -6.0414 
12050000 -5320.3029 -7193.9363 290.8252 7.7426 
12100000 -5104.0956 -7036.8617 300.0038 2.4428 
12150000 -5202.0325 -7134.9734 300.0309 -18.6487 
12200000 -5124.2227 -7055.8876 299.8328 -1.6859 
12250000 -5152.0166 -7057.8431 295.8222 -1.3143 
12300000 -5272.2089 -7160.3201 293.0724 -35.7694 
12350000 -5173.9278 -7114.0907 301.1519 44.3454 
12400000 -5193.5457 -7133.1551 301.066 -7.5357 
12450000 -5295.197 -7149.6253 287.8442 -14.6561 
12500000 -5221.8684 -7150.1257 299.3039 -19.3995 
12550000 -5258.5388 -7105.6357 286.7062 6.918 
12600000 -5165.6595 -7125.9277 304.2726 7.2207 
12650000 -5144.3332 -7155.6442 312.1955 44.4677 
12700000 -5233.46 -7137.5996 295.5603 14.0838 
12750000 -5220.4899 -7159.287 300.9399 7.3703 
12800000 -5194.8075 -7095.9622 295.097 23.507 
12850000 -5136.2139 -7107.0132 305.9072 6.4465 
12900000 -5137.9178 -7050.6782 296.8985 -2.4714 
12950000 -5165.9393 -7126.8408 304.3709 -21.1816 
13000000 -5179.5272 -7056.1716 291.2925 -13.7224 
13050000 -5101.0596 -7070.3483 305.6728 7.6693 
13100000 -5168.1091 -7107.4456 301.0236 -0.1689 
13150000 -5187.0425 -7076.7741 293.3239 -9.9428 
13200000 -5070.2067 -7024.5054 303.346 24.2103 
13250000 -5214.2733 -7166.1579 302.9713 42.6155 
13300000 -5189.7883 -7116.0165 298.9889 -12.9776 
13350000 -5180.5274 -7135.7608 303.4911 -2.872 
13400000 -5141.2581 -7070.3531 299.4339 -14.1819 
