2000 -1.5
3000 -2.0
4000 5.0
5000 7.0
6000 10.0
7000 9.0
8000 10.0
9000 6.0
10000 7.0
11000 4.5
12000 8.0
13000 5.0
14000 6.5
15000 4.5
16000 4.5
17000 4.0
18000 4.5
19000 3.5
20000 5.5
21000 7.5
22000 7.5
23000 5.0
24000 7.5
25000 7.0
26000 8.0
27000 8.0
28000 11.0
29000 8.5
30000 7.0
31000 7.0
32000 6.0
33000 2.5
34000 7.0
35000 5.0
36000 9.5
37000 15.5
38000 15.0
39000 12.5
40000 8.5
41000 6.0
42000 2.0
43000 2.0
44000 3.5
45000 3.0
46000 4.0
47000 2.0
48000 1.5
49000 -1.5
50000 -3.5
51000 -4.0
52000 -1.0
53000 -2.0
54000 1.0
55000 3.0
56000 1.5
57000 0.5
58000 -3.0
59000 -7.5
60000 -8.0
61000 -10.0
62000 -10.0
63000 -5.0
64000 -4.0
65000 -1.0
66000 -2.0
67000 -1.5
68000 -4.0
69000 -7.0
70000 -8.5
71000 -18.5
72000 -19.5
73000 -20.0
74000 -21.0
75000 -19.0
76000 -20.0
77000 -21.5
78000 -19.5
79000 -21.0
80000 -18.0
81000 -16.5
82000 -17.5
83000 -16.5
84000 -16.0
85000 -8.0
86000 -8.0
87000 -7.0
88000 -6.5
89000 -13.0
90000 -14.5
91000 -21.0
92000 -21.0
93000 -23.0
94000 -20.0
95000 -18.5
96000 -18.5
97000 -23.5
98000 -23.5
99000 -18.0
100000 -19.5
