1 -3.0
2 -1.0
3 -0.5
4 -3.0
5 -2.0
6 -3.0
7 -4.0
8 -3.0
9 -1.5
10 0.0
11 -2.0
12 -3.0
13 -1.5
14 0.0
15 -1.0
16 0.5
17 2.5
18 1.5
19 7.5
20 9.0
21 13.0
22 10.0
23 10.0
24 10.0
25 9.0
26 7.0
27 7.5
28 11.0
29 8.0
30 7.5
31 9.5
32 8.0
33 9.0
34 11.0
35 9.0
36 5.0
37 7.0
38 6.5
39 7.5
40 3.5
41 3.0
42 4.5
43 4.0
44 3.0
45 3.0
46 5.0
47 4.5
48 4.5
49 7.0
50 5.0
51 5.5
52 7.0
53 4.0
54 3.0
55 6.0
56 6.0
57 9.0
58 8.0
59 10.0
60 10.0
61 10.0
62 10.0
63 10.0
64 14.0
65 13.5
66 12.5
67 11.5
68 9.5
69 11.0
70 11.5
71 13.0
72 13.0
73 11.0
74 16.0
75 18.0
76 17.5
77 15.0
78 18.5
79 18.5
80 16.0
81 13.0
82 14.0
83 14.0
84 16.5
85 10.0
86 9.5
87 12.0
88 10.0
89 12.0
90 11.5
91 11.5
92 10.5
93 8.5
94 9.0
95 7.0
96 4.5
97 8.0
98 6.0
99 7.0
