ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000              0.0000    -31150.7773         0.0000         0.0000      3753.2061         -27397.5712      1457.3297    -31150.7773    -27397.5712      1457.3297           1388.8492      1388.8492    125000.0000      1388.8492      1388.8492
ENERGY:     500         0.0000         0.0000         0.0000         0.0000              0.0000    -27209.5195         0.0000         0.0000      2784.8077         -24424.7118      1081.3109    -27209.5195    -24426.2219       954.1252           -599.7237      -599.7237    125000.0000       379.6952       379.6952
ENERGY:    1000         0.0000         0.0000         0.0000         0.0000              0.0000    -26294.4848         0.0000         0.0000      3142.0828         -23152.4020      1220.0370    -26294.4848    -23149.3341      1239.1351             54.6155        54.6155    125000.0000       413.1182       413.1182
ENERGY:    1500         0.0000         0.0000         0.0000         0.0000              0.0000    -25849.8422         0.0000         0.0000      3490.0008         -22359.8414      1355.1299    -25849.8422    -22363.5899      1330.2061           -164.2163      -164.2163    125000.0000       -12.6814       -12.6814
ENERGY:    2000         0.0000         0.0000         0.0000         0.0000              0.0000    -25260.4263         0.0000         0.0000      3686.2674         -21574.1589      1431.3381    -25260.4263    -21576.3418      1385.9073            400.4875       400.4875    125000.0000      -179.3572      -179.3572
ENERGY:    2500         0.0000         0.0000         0.0000         0.0000              0.0000    -24957.0239         0.0000         0.0000      3799.6228         -21157.4010      1475.3528    -24957.0239    -21161.8694      1409.0463            155.1264       155.1264    125000.0000       -58.3346       -58.3346
ENERGY:    3000         0.0000         0.0000         0.0000         0.0000              0.0000    -24739.4221         0.0000         0.0000      3851.7628         -20887.6593      1495.5981    -24739.4221    -20882.4241      1478.1255            211.8367       211.8367    125000.0000       -98.5972       -98.5972
ENERGY:    3500         0.0000         0.0000         0.0000         0.0000              0.0000    -24569.7656         0.0000         0.0000      3684.4262         -20885.3393      1430.6232    -24569.7656    -20882.7098      1466.9994            843.8267       843.8267    125000.0000       -72.5547       -72.5547
ENERGY:    4000         0.0000         0.0000         0.0000         0.0000              0.0000    -24402.6760         0.0000         0.0000      3663.7510         -20738.9250      1422.5952    -24402.6760    -20737.8140      1458.5877           -317.2643      -317.2643    125000.0000        57.5146        57.5146
ENERGY:    4500         0.0000         0.0000         0.0000         0.0000              0.0000    -24176.8388         0.0000         0.0000      3659.0907         -20517.7481      1420.7856    -24176.8388    -20517.8673      1489.3020             71.0902        71.0902    125000.0000       277.5369       277.5369
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000              0.0000    -24252.5029         0.0000         0.0000      3777.7205         -20474.7824      1466.8483    -24252.5029    -20477.2214      1470.9885           -269.5499      -269.5499    125000.0000      -185.6328      -185.6328
ENERGY:    5500         0.0000         0.0000         0.0000         0.0000              0.0000    -24208.5577         0.0000         0.0000      3766.6317         -20441.9261      1462.5427    -24208.5577    -20442.3663      1445.1013           -100.9058      -100.9058    125000.0000        79.1922        79.1922
ENERGY:    6000         0.0000         0.0000         0.0000         0.0000              0.0000    -24171.2976         0.0000         0.0000      3913.9575         -20257.3402      1519.7477    -24171.2976    -20255.4014      1478.4815            392.6788       392.6788    125000.0000        95.0266        95.0266
ENERGY:    6500         0.0000         0.0000         0.0000         0.0000              0.0000    -23932.0794         0.0000         0.0000      3759.2337         -20172.8457      1459.6701    -23932.0794    -20173.9082      1486.2942            299.2141       299.2141    125000.0000      -156.2758      -156.2758
ENERGY:    7000         0.0000         0.0000         0.0000         0.0000              0.0000    -23955.9594         0.0000         0.0000      3796.0686         -20159.8908      1473.9727    -23955.9594    -20165.3636      1465.9584            391.2842       391.2842    125000.0000       -95.3541       -95.3541
ENERGY:    7500         0.0000         0.0000         0.0000         0.0000              0.0000    -24208.7816         0.0000         0.0000      3944.2855         -20264.4960      1531.5237    -24208.7816    -20266.8265      1461.3553            339.4132       339.4132    125000.0000      -137.3452      -137.3452
ENERGY:    8000         0.0000         0.0000         0.0000         0.0000              0.0000    -23866.5570         0.0000         0.0000      3563.3428         -20303.2142      1383.6078    -23866.5570    -20306.3979      1509.6846           -824.7669      -824.7669    125000.0000       345.1334       345.1334
ENERGY:    8500         0.0000         0.0000         0.0000         0.0000              0.0000    -24106.0029         0.0000         0.0000      3949.8711         -20156.1318      1533.6925    -24106.0029    -20154.5353      1456.0842             84.3414        84.3414    125000.0000      -405.8082      -405.8082
ENERGY:    9000         0.0000         0.0000         0.0000         0.0000              0.0000    -23792.7010         0.0000         0.0000      3709.4797         -20083.2213      1440.3511    -23792.7010    -20081.2814      1505.2250            149.1587       149.1587    125000.0000       123.6145       123.6145
ENERGY:    9500         0.0000         0.0000         0.0000         0.0000              0.0000    -23821.9232         0.0000         0.0000      3760.7686         -20061.1546      1460.2661    -23821.9232    -20061.0880      1476.8757           -775.8314      -775.8314    125000.0000        -7.6887        -7.6887
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000              0.0000    -24028.4038         0.0000         0.0000      4028.2527         -20000.1512      1564.1273    -24028.4038    -19997.9115      1483.9457           -352.5605      -352.5605    125000.0000       220.6212       220.6212
ENERGY:   10500         0.0000         0.0000         0.0000         0.0000              0.0000    -23824.8774         0.0000         0.0000      3825.0200         -19999.8574      1485.2142    -23824.8774    -19996.9789      1463.9779            217.6820       217.6820    125000.0000      -124.4097      -124.4097
ENERGY:   11000         0.0000         0.0000         0.0000         0.0000              0.0000    -23815.7743         0.0000         0.0000      3729.0207         -20086.7537      1447.9387    -23815.7743    -20088.6379      1463.1508           -785.9938      -785.9938    125000.0000         2.1620         2.1620
ENERGY:   11500         0.0000         0.0000         0.0000         0.0000              0.0000    -23821.9673         0.0000         0.0000      3813.6152         -20008.3521      1480.7858    -23821.9673    -20005.8809      1482.2605            143.1257       143.1257    125000.0000         2.6451         2.6451
ENERGY:   12000         0.0000         0.0000         0.0000         0.0000              0.0000    -23679.6564         0.0000         0.0000      3685.8519         -19993.8045      1431.1767    -23679.6564    -19988.6396      1480.1640            -68.1734       -68.1734    125000.0000        26.3448        26.3448
ENERGY:   12500         0.0000         0.0000         0.0000         0.0000              0.0000    -23635.4713         0.0000         0.0000      3874.3019         -19761.1693      1504.3499    -23635.4713    -19767.3421      1479.3138            329.9054       329.9054    125000.0000       199.9758       199.9758
ENERGY:   13000         0.0000         0.0000         0.0000         0.0000              0.0000    -23553.4658         0.0000         0.0000      3663.2969         -19890.1689      1422.4189    -23553.4658    -19886.0982      1479.1096           -111.6726      -111.6726    125000.0000      -324.5739      -324.5739
ENERGY:   13500         0.0000         0.0000         0.0000         0.0000              0.0000    -23758.7811         0.0000         0.0000      3756.0554         -20002.7257      1458.4360    -23758.7811    -20006.0354      1475.8240           -524.1714      -524.1714    125000.0000        63.9761        63.9761
ENERGY:   14000         0.0000         0.0000         0.0000         0.0000              0.0000    -23439.1425         0.0000         0.0000      3862.9548         -19576.1877      1499.9439    -23439.1425    -19572.5103      1481.5209            361.4167       361.4167    125000.0000       244.2522       244.2522
ENERGY:   14500         0.0000         0.0000         0.0000         0.0000              0.0000    -23461.4553         0.0000         0.0000      3888.9579         -19572.4974      1510.0406    -23461.4553    -19562.3112      1474.2974            842.5119       842.5119    125000.0000       180.0887       180.0887
