ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5631.1977       393.0455         0.0000         0.0000       943.7442          -4294.4080       299.8192     -5238.1522     -4292.3425       298.1152           -354.7759      -344.8765     22743.7944      -196.0450      -196.0118
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5577.4382       367.3894         0.0000         0.0000       939.3965          -4270.6523       298.4380     -5210.0488     -4270.1630       297.7264           -429.1641      -398.2639     22634.8881      -194.9747      -195.0607
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5553.7670       388.3489         0.0000         0.0000       973.2454          -4192.1726       309.1915     -5165.4180     -4190.3335       303.3279           -268.2060      -270.6065     22769.4353      -148.9466      -149.0658
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5493.1889       335.0702         0.0000         0.0000       932.8559          -4225.2628       296.3601     -5158.1187     -4223.6190       300.7770           -988.0847      -973.1987     23038.6804      -186.9850      -187.0353
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5679.5598       436.1221         0.0000         0.0000       944.9872          -4298.4505       300.2141     -5243.4377     -4296.3524       299.0861            443.1668       478.5506     22431.8604      -202.8523      -202.8135
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5595.3210       412.0081         0.0000         0.0000       963.6575          -4219.6554       306.1455     -5183.3129     -4216.6792       299.6390            171.6013       196.7812     22762.8526      -177.0900      -177.0917
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5551.1487       348.9178         0.0000         0.0000       962.1666          -4240.0643       305.6719     -5202.2309     -4237.3428       298.9782             20.2762        53.9196     22220.2970      -214.9074      -214.8897
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5595.2726       384.9866         0.0000         0.0000       913.3177          -4296.9684       290.1530     -5210.2861     -4294.2316       300.7257           -274.6690      -246.9137     22645.0880      -235.6037      -235.5617
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5587.1689       383.0436         0.0000         0.0000       931.4652          -4272.6600       295.9183     -5204.1252     -4270.1787       298.0320           -327.9220      -308.6226     22819.8280      -178.4983      -178.5323
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5596.8205       360.9807         0.0000         0.0000       927.5617          -4308.2781       294.6782     -5235.8398     -4307.0551       297.7792           -386.8474      -353.9902     22404.7424      -178.4921      -178.4106
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5585.8960       370.0419         0.0000         0.0000       919.1246          -4296.7295       291.9978     -5215.8541     -4294.6980       295.9762           -110.2256       -81.7481     22558.1823      -262.4814      -262.4605
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5592.7608       431.6395         0.0000         0.0000       939.7584          -4221.3629       298.5530     -5161.1213     -4219.1186       303.1098             97.0629       103.0200     22911.8123      -261.1434      -261.0361
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5737.8852       465.8048         0.0000         0.0000       955.4305          -4316.6499       303.5319     -5272.0804     -4313.5203       299.1502            345.8532       375.0724     22683.8308      -182.9230      -183.0422
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5710.8073       423.6819         0.0000         0.0000       939.8611          -4347.2642       298.5856     -5287.1253     -4344.4238       295.3704             30.8176        54.4119     22423.3401      -193.8593      -193.9795
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5635.3328       423.8493         0.0000         0.0000       981.3940          -4230.0895       311.7803     -5211.4834     -4228.1512       293.4758             84.7277       115.4873     22637.9692      -224.6132      -224.5260
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5599.8662       398.1472         0.0000         0.0000       961.8925          -4239.8265       305.5848     -5201.7190     -4237.7082       297.9047             20.9019        43.5962     22587.4653      -192.6117      -192.5951
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5575.4724       385.7530         0.0000         0.0000       928.7694          -4260.9499       295.0619     -5189.7193     -4257.7850       297.3987           -163.2717      -142.1914     22709.0683      -206.2561      -206.5192
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5513.2358       374.2150         0.0000         0.0000       948.2873          -4190.7335       301.2625     -5139.0208     -4188.1487       303.8488           -577.9041      -555.7433     23045.9448      -254.8538      -254.9011
