1 -2.0
2 -3.0
3 -3.0
4 -4.0
5 -3.0
6 -2.0
7 -3.0
8 -2.0
9 -0.5
10 -1.0
11 -0.5
12 -0.5
13 1.0
14 1.0
15 2.0
16 0.5
17 1.5
18 4.0
19 4.5
20 3.0
21 3.0
22 1.0
23 2.0
24 1.5
25 1.0
26 -1.5
27 -0.5
28 -0.5
29 1.0
30 -2.0
31 0.5
32 1.0
33 0.0
34 2.0
35 1.0
36 1.5
37 1.0
38 -0.5
39 -3.5
40 -1.5
41 -0.5
42 0.5
43 -1.0
44 -3.5
45 -1.0
46 -0.5
47 0.5
48 -0.5
49 -3.0
50 -3.5
51 -1.5
52 -4.0
53 -2.0
54 -4.5
55 -6.5
56 -8.0
57 -7.0
58 -7.0
59 -8.5
60 -8.5
61 -10.0
62 -10.5
63 -8.0
64 -8.0
65 -10.0
66 -9.0
67 -9.0
68 -7.5
69 -7.5
70 -5.5
71 -9.0
72 -10.0
73 -9.0
74 -9.0
75 -9.0
76 -11.5
77 -10.0
78 -10.5
79 -11.5
80 -14.0
81 -13.5
82 -15.0
83 -15.5
84 -17.5
85 -19.0
86 -14.5
87 -14.5
88 -11.5
89 -12.5
90 -13.0
91 -12.0
92 -13.0
93 -16.0
94 -16.5
95 -13.0
96 -15.0
97 -14.0
98 -15.0
99 -14.5
