ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:   13000         0.0000         0.0000         0.0000         0.0000              0.0000    -30340.5235         0.0000         0.0000       738.6817         -29601.8418       286.8222    -30340.5235    -29602.1504       292.5829             -2.1557        -2.1557    125000.0000       -21.4345       -21.4345
ENERGY:   13500         0.0000         0.0000         0.0000         0.0000              0.0000    -30348.8604         0.0000         0.0000       761.6166         -29587.2438       295.7275    -30348.8604    -29588.3872       291.9799             19.1029        19.1029    125000.0000         1.9917         1.9917
ENERGY:   14000         0.0000         0.0000         0.0000         0.0000              0.0000    -30347.5103         0.0000         0.0000       806.3305         -29541.1798       313.0895    -30347.5103    -29539.4119       300.1142           -155.3485      -155.3485    125000.0000        60.2705        60.2705
ENERGY:   14500         0.0000         0.0000         0.0000         0.0000              0.0000    -30355.2813         0.0000         0.0000       783.7131         -29571.5682       304.3074    -30355.2813    -29572.2192       301.7242            137.7571       137.7571    125000.0000        40.8815        40.8815
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000              0.0000    -30356.5543         0.0000         0.0000       774.6027         -29581.9517       300.7699    -30356.5543    -29582.5011       299.3982           -144.6787      -144.6787    125000.0000       -74.9416       -74.9416
ENERGY:   15500         0.0000         0.0000         0.0000         0.0000              0.0000    -30349.4449         0.0000         0.0000       731.4875         -29617.9574       284.0288    -30349.4449    -29618.3924       293.9446             45.8465        45.8465    125000.0000       -72.2219       -72.2219
ENERGY:   16000         0.0000         0.0000         0.0000         0.0000              0.0000    -30332.0315         0.0000         0.0000       764.4997         -29567.5319       296.8470    -30332.0315    -29565.8669       300.2088           -128.2179      -128.2179    125000.0000       -12.1554       -12.1554
ENERGY:   16500         0.0000         0.0000         0.0000         0.0000              0.0000    -30393.5001         0.0000         0.0000       762.7899         -29630.7102       296.1831    -30393.5001    -29631.2436       291.7124              3.6003         3.6003    125000.0000         6.8539         6.8539
ENERGY:   17000         0.0000         0.0000         0.0000         0.0000              0.0000    -30359.2167         0.0000         0.0000       785.0631         -29574.1536       304.8316    -30359.2167    -29573.4471       296.3725            181.9852       181.9852    125000.0000        -7.3706        -7.3706
ENERGY:   17500         0.0000         0.0000         0.0000         0.0000              0.0000    -30362.5167         0.0000         0.0000       806.7688         -29555.7479       313.2597    -30362.5167    -29556.0878       302.2650            191.7591       191.7591    125000.0000         5.4455         5.4455
