# step Etot Epot T p 
0 -30355.7806 -31150.7773 308.6887 292.3396 
500 -29864.7484 -30511.0362 250.9466 294.1932 
1000 -29695.1552 -30411.0529 277.9754 -101.9652 
1500 -29620.2671 -30338.331 278.8165 -76.6461 
2000 -29575.6851 -30351.8021 301.3579 -109.9991 
2500 -29540.7824 -30288.438 290.3066 77.022 
3000 -29565.6829 -30336.7765 299.4074 -16.8717 
3500 -29563.2257 -30328.1732 297.0209 109.7922 
4000 -29577.6671 -30332.6122 293.1371 -16.2462 
4500 -29576.4421 -30339.814 296.4091 -10.751 
5000 -29600.5083 -30368.5087 298.2063 336.2175 
5500 -29592.3727 -30355.2726 296.2258 136.8208 
6000 -29541.3522 -30299.0758 294.2159 39.324 
6500 -29541.2725 -30287.0956 289.5951 41.1929 
7000 -29532.8059 -30313.1004 302.98 -426.3274 
7500 -29569.8106 -30357.3985 305.8119 152.7554 
8000 -29615.3746 -30383.5354 298.2686 -211.4705 
8500 -29632.038 -30364.0299 284.2246 -194.7676 
9000 -29561.4264 -30316.7904 293.2998 168.0188 
9500 -29610.9599 -30369.245 294.434 100.4407 
10000 -29617.3547 -30374.7675 294.0953 -192.8003 
10500 -29524.5577 -30316.6086 307.5449 225.5448 
11000 -29577.855 -30318.1524 287.4495 316.5633 
11500 -29582.2535 -30305.606 280.87 -141.0075 
12000 -29557.9197 -30313.547 293.402 -435.9654 
12500 -29609.4388 -30352.3219 288.4536 -172.6176 
13000 -29601.8418 -30340.5235 286.8222 -2.1557 
13500 -29587.2438 -30348.8604 295.7275 19.1029 
14000 -29541.1798 -30347.5103 313.0895 -155.3485 
14500 -29571.5682 -30355.2813 304.3074 137.7571 
15000 -29581.9517 -30356.5543 300.7699 -144.6787 
15500 -29617.9574 -30349.4449 284.0288 45.8465 
16000 -29567.5319 -30332.0315 296.847 -128.2179 
16500 -29630.7102 -30393.5001 296.1831 3.6003 
17000 -29574.1536 -30359.2167 304.8316 181.9852 
17500 -29555.7479 -30362.5167 313.2597 191.7591 
18000 -29594.8642 -30361.7638 297.7789 -40.7559 
18500 -29608.1041 -30383.7643 301.1805 -147.7241 
19000 -29579.2456 -30379.2101 310.6176 31.9829 
19500 -29545.5302 -30318.019 299.9491 110.726 
20000 -29491.9824 -30305.8634 316.0213 -72.1749 
20500 -29529.4777 -30332.4982 311.8042 -281.9934 
21000 -29567.4697 -30325.9664 294.5161 -3.1908 
21500 -29580.7677 -30371.5503 307.0524 214.2502 
22000 -29592.6697 -30373.0343 303.0072 209.3807 
22500 -29584.5088 -30348.4918 296.6464 15.6544 
23000 -29532.4855 -30321.4856 306.3603 -219.3789 
23500 -29554.3196 -30309.3785 293.1813 111.9445 
24000 -29491.2049 -30265.0229 300.4652 443.0722 
24500 -29508.5715 -30317.8013 314.2152 341.9431 
25000 -29502.6278 -30307.7346 312.6143 -2.9255 
25500 -29519.2075 -30315.3751 309.1433 106.9866 
26000 -29501.0177 -30295.153 308.3542 160.3942 
26500 -29503.6572 -30319.5904 316.8181 213.1406 
27000 -29489.0021 -30266.1563 301.7607 -4.2737 
27500 -29542.8305 -30307.7496 297.0099 -135.722 
28000 -29524.011 -30301.4346 301.8653 -386.6421 
28500 -29546.5143 -30326.9809 303.0468 74.8861 
29000 -29558.5444 -30337.1265 302.315 243.0299 
29500 -29549.0173 -30320.6507 299.6169 -72.996 
30000 -29586.9003 -30339.2109 292.1141 18.0381 
30500 -29618.5816 -30375.2643 293.8118 214.8467 
31000 -29541.2694 -30315.7976 300.741 67.3708 
31500 -29561.1676 -30335.4475 300.6446 13.214 
32000 -29577.185 -30324.5593 290.1974 -121.2379 
32500 -29597.424 -30330.552 284.6657 68.4609 
33000 -29574.3071 -30364.8885 306.9743 230.4279 
33500 -29614.1354 -30367.1786 292.3986 330.1155 
34000 -29579.5021 -30333.6396 292.8235 118.8359 
34500 -29599.5186 -30353.132 292.62 100.9239 
35000 -29607.7394 -30357.7238 291.2109 159.3234 
35500 -29602.5023 -30361.7569 294.8104 200.8997 
36000 -29582.6327 -30344.4689 295.8128 164.8808 
36500 -29577.8962 -30347.6739 298.8964 -44.1661 
37000 -29551.8293 -30359.06 313.439 -30.3264 
37500 -29537.9984 -30296.5899 294.5529 -135.7821 
38000 -29584.4806 -30351.3665 297.7736 -74.969 
38500 -29545.2339 -30332.8609 305.8271 -19.0318 
39000 -29562.0562 -30342.5498 303.0573 51.7959 
39500 -29541.506 -30333.4778 307.5141 -102.0597 
40000 -29585.146 -30338.6175 292.5649 -499.6012 
40500 -29568.6257 -30333.3862 296.9483 -180.7641 
41000 -29555.4705 -30323.889 298.3687 -398.7958 
41500 -29559.7783 -30323.4005 296.5063 -17.7704 
42000 -29574.3406 -30344.6341 299.0967 83.5185 
42500 -29571.5219 -30347.6919 301.3785 -160.2653 
43000 -29587.5265 -30344.1087 293.7727 -172.1125 
43500 -29524.4909 -30324.4337 310.6092 -113.4964 
44000 -29534.8987 -30299.6121 296.93 32.8833 
44500 -29540.2757 -30329.342 306.386 -39.5348 
45000 -29545.9375 -30318.5357 299.9916 -321.8405 
45500 -29585.4696 -30348.0587 296.1052 -30.9872 
46000 -29612.2316 -30366.3986 292.8349 57.4045 
46500 -29618.0099 -30334.0045 278.013 28.5297 
47000 -29583.4735 -30356.8312 300.2865 69.7331 
47500 -29576.4744 -30347.0727 299.2151 -289.0849 
48000 -29567.4781 -30334.6573 297.8874 129.0861 
48500 -29598.6115 -30347.3603 290.7311 -95.925 
49000 -29560.6926 -30339.0578 302.2309 370.5675 
49500 -29537.6496 -30338.2999 310.8839 111.1645 
50000 -29541.8293 -30317.2468 301.0863 -364.5854 
50500 -29606.5809 -30339.635 284.637 -215.1271 
51000 -29578.3201 -30331.3316 292.3863 -217.2757 
51500 -29590.64 -30347.7165 293.9647 -294.9045 
52000 -29595.0244 -30371.4754 301.4876 -173.3522 
