1 -1.5
2 -2.0
3 0.0
4 3.0
5 1.5
6 2.0
7 3.5
8 1.5
9 1.5
10 2.0
11 1.5
12 2.0
13 4.0
14 5.5
15 8.0
16 10.5
17 10.0
18 7.5
19 8.0
20 8.5
21 11.0
22 13.0
23 12.0
24 11.5
25 14.0
26 13.0
27 8.5
28 5.0
29 5.0
30 2.5
31 3.5
32 6.0
33 8.5
34 8.0
35 10.0
36 12.0
37 6.5
38 4.0
39 4.5
40 2.0
41 6.0
42 8.0
43 6.5
44 15.0
45 17.5
46 16.0
47 13.0
48 12.0
49 14.0
50 15.5
51 14.5
52 17.0
53 16.5
54 26.0
55 25.5
56 24.5
57 27.5
58 25.0
59 23.5
60 26.0
61 25.0
62 24.0
63 25.0
64 21.5
65 23.5
66 22.0
67 26.0
68 28.5
69 24.0
70 22.0
71 22.0
72 25.5
73 27.0
74 23.0
75 24.0
76 16.5
77 17.0
78 19.5
79 16.0
80 18.0
81 19.0
82 21.0
83 23.0
84 23.0
85 28.0
86 24.0
87 16.5
88 14.0
89 11.0
90 11.0
91 14.0
92 15.0
93 20.5
94 20.5
95 15.0
96 9.0
97 10.5
98 16.0
99 14.5
